电报 @xainrg 整理
港台频道,#genre#
東森新聞台HD,http://165.154.226.214:50007/li-4gtv-4gtv152/index.m3u8?proxy=true
民視新聞台,http://165.154.226.214:50007/li-litv-ftv13/index.m3u8?proxy=true
非凡新闻HD,http://iptv.4666888.xyz/iptv2A.php?id=44
非凡新闻HD,rtmp://f13h.mine.nu/sat/tv581
寰宇新聞台,http://165.154.226.214:50007/li-litv-longturn14/index.m3u8?proxy=true
华视HD,rtmp://f13h.mine.nu/sat/tv111
中視HD,rtmp://f13h.mine.nu/sat/tv091
台視HD,http://165.154.226.214:50007/li-4gtv-4gtv066/index.m3u8?proxy=true
台視HD,rtmp://f13h.mine.nu/sat/tv071
台视综合HD,P2p://starvod.xyz:19806/c37a6ec58dd140ccab0e25b94849ee06.ts
台视综合HD,http://mypanel-4k.com:80/me52pjdqa6/dt2t9r16ja/283891 
民视,rtmp://f13h.mine.nu/sat/tv051
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
民視第一台,http://165.154.226.214:50007/li-4gtv-4gtv003/index.m3u8?proxy=true
八大綜藝台,http://165.154.226.214:50007/li-4gtv-4gtv039/index.m3u8?proxy=true
八大精彩台,http://165.154.226.214:50007/li-4gtv-4gtv034/index.m3u8?proxy=true
八大优频道,P2p://147.135.39.171:9906/686141c600004a257bb419081c1d2844.ts
TVBS精采台HD,http://165.154.226.214:50007/li-4gtv-4gtv067/index.m3u8?proxy=true
三立综合,P2p://147.135.39.171:9906/6869374a000888579acb331f46c77c60.ts
壹综合HD,P2p://147.135.39.171:9906/685f810d000eeaf174db4a19563a6520.ts
好消息,http://165.154.226.214:50007/of-litv-ftv16/index.m3u8?proxy=true
好消息2台,http://165.154.226.214:50007/of-litv-ftv17/index.m3u8?proxy=true
緯來體育HD,rtmp://f13h.mine.nu/sat/tv721
DAZN体育1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育2,rtmp://f13h.mine.nu/sat/tv741
龙华经典,https://cdn8.163189.xyz/163189/lhjd
龙华经典,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华偶像,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://rihou.cc:555/tv/[Pd]龙华戏剧
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
CHU综合,http://rihou.cc:555/tv/[Pd]CHU综合
CH5综合,http://rihou.cc:555/tv/[Pd]CH5综合
